iter	Passed	Remaining
0	19	19189
1	41	20684
2	54	18173
3	70	17619
4	81	16231
5	98	16397
6	116	16536
7	136	16977
8	167	18413
9	192	19039
10	202	18228
11	219	18049
12	252	19191
13	267	18811
14	287	18880
15	301	18530
16	317	18355
17	352	19241
18	371	19167
19	421	20670
20	452	21085
21	472	21005
22	487	20727
23	503	20494
24	520	20283
25	535	20051
26	567	20442
27	586	20367
28	615	20621
29	664	21474
30	730	22830
31	751	22747
32	769	22558
33	786	22336
34	799	22043
35	825	22097
36	845	22012
37	865	21907
38	882	21734
39	897	21540
40	910	21303
41	921	21020
42	931	20730
43	941	20463
44	949	20155
45	960	19930
46	972	19728
47	987	19584
48	996	19345
49	1007	19139
50	1016	18912
51	1023	18650
52	1032	18443
53	1039	18207
54	1049	18024
55	1056	17805
56	1064	17617
57	1070	17393
58	1076	17174
59	1084	16994
60	1091	16794
61	1099	16640
62	1105	16445
63	1113	16281
64	1118	16095
65	1124	15912
66	1130	15748
67	1136	15580
68	1145	15457
69	1151	15295
70	1159	15167
71	1166	15038
72	1174	14919
73	1180	14770
74	1186	14633
75	1194	14521
76	1199	14382
77	1209	14293
78	1215	14166
79	1224	14083
80	1230	13963
81	1239	13875
82	1245	13757
83	1255	13694
84	1262	13591
85	1274	13549
86	1282	13455
87	1292	13395
88	1298	13288
89	1309	13236
90	1315	13144
91	1323	13067
92	1329	12969
93	1339	12914
94	1345	12819
95	1356	12776
96	1362	12680
97	1373	12638
98	1378	12545
99	1390	12516
100	1401	12478
101	1409	12409
102	1418	12356
103	1424	12276
104	1434	12228
105	1440	12147
106	1449	12101
107	1455	12022
108	1466	11984
109	1472	11915
110	1481	11868
111	1487	11797
112	1495	11739
113	1501	11671
114	1512	11636
115	1517	11566
116	1524	11501
117	1532	11456
118	1538	11387
119	1548	11354
120	1554	11289
121	1563	11249
122	1568	11185
123	1579	11160
124	1585	11097
125	1595	11065
126	1601	11006
127	1610	10971
128	1616	10913
129	1625	10875
130	1630	10816
131	1636	10760
132	1644	10717
133	1649	10661
134	1660	10638
135	1666	10585
136	1680	10583
137	1691	10563
138	1705	10566
139	1714	10529
140	1724	10505
141	1730	10456
142	1741	10433
143	1745	10378
144	1755	10351
145	1761	10300
146	1773	10291
147	1786	10284
148	1793	10240
149	1802	10212
150	1807	10164
151	1816	10132
152	1822	10091
153	1828	10045
154	1836	10011
155	1842	9968
156	1852	9944
157	1858	9902
158	1867	9876
159	1873	9834
160	1883	9813
161	1888	9769
162	1898	9746
163	1904	9709
164	1913	9685
165	1919	9642
166	1927	9615
167	1933	9575
168	1939	9535
169	1946	9505
170	1952	9465
171	1960	9435
172	1965	9396
173	1971	9357
174	1981	9339
175	1986	9301
176	1995	9279
177	2002	9248
178	2011	9223
179	2066	9413
180	2080	9414
181	2094	9415
182	2111	9427
183	2125	9426
184	2148	9466
185	2167	9485
186	2176	9461
187	2186	9442
188	2193	9411
189	2203	9395
190	2209	9357
191	2220	9344
192	2226	9309
193	2237	9293
194	2242	9257
195	2270	9313
196	2285	9315
197	2305	9338
198	2331	9386
199	2345	9383
200	2357	9371
201	2366	9348
202	2371	9310
203	2377	9275
204	2385	9249
205	2390	9213
206	2399	9192
207	2404	9155
208	2411	9128
209	2417	9095
210	2422	9059
211	2431	9036
212	2436	9001
213	2444	8977
214	2450	8945
215	2455	8912
216	2464	8890
217	2469	8859
218	2478	8838
219	2483	8806
220	2490	8778
221	2496	8747
222	2501	8715
223	2510	8696
224	2516	8667
225	2524	8645
226	2530	8615
227	2535	8584
228	2542	8560
229	2548	8533
230	2557	8512
231	2564	8489
232	2573	8471
233	2578	8442
234	2587	8421
235	2594	8398
236	2601	8375
237	2606	8345
238	2612	8317
239	2620	8297
240	2625	8267
241	2633	8247
242	2639	8221
243	2644	8194
244	2652	8172
245	2657	8145
246	2665	8125
247	2671	8100
248	2676	8073
249	2685	8055
250	2690	8027
251	2698	8011
252	2703	7983
253	2709	7956
254	2718	7942
255	2723	7916
256	2732	7900
257	2738	7874
258	2746	7858
259	2752	7832
260	2757	7808
261	2764	7787
262	2770	7764
263	2779	7750
264	2784	7723
265	2794	7712
266	2800	7689
267	2810	7676
268	2815	7652
269	2822	7632
270	2828	7610
271	2833	7584
272	2844	7575
273	2850	7552
274	2860	7540
275	2866	7520
276	2874	7502
277	2880	7480
278	2891	7472
279	2897	7450
280	2908	7443
281	2914	7419
282	2923	7406
283	2928	7383
284	2935	7364
285	2941	7344
286	2947	7321
287	2954	7303
288	2960	7284
289	2972	7276
290	2978	7256
291	2989	7248
292	2996	7231
293	3006	7219
294	3017	7211
295	3024	7193
296	3032	7177
297	3039	7159
298	3047	7145
299	3054	7127
300	3061	7108
301	3070	7095
302	3079	7084
303	3086	7065
304	3091	7045
305	3101	7033
306	3107	7015
307	3119	7007
308	3131	7003
309	3138	6985
310	3150	6980
311	3164	6978
312	3172	6963
313	3183	6954
314	3189	6935
315	3200	6927
316	3209	6914
317	3216	6897
318	3224	6883
319	3232	6868
320	3242	6859
321	3258	6860
322	3270	6854
323	3281	6845
324	3292	6838
325	3299	6821
326	3314	6821
327	3327	6816
328	3333	6798
329	3344	6789
330	3349	6769
331	3361	6763
332	3367	6744
333	3375	6731
334	3384	6717
335	3392	6704
336	3398	6686
337	3408	6676
338	3414	6657
339	3423	6644
340	3429	6626
341	3443	6624
342	3453	6614
343	3459	6596
344	3469	6587
345	3477	6573
346	3486	6560
347	3491	6541
348	3499	6527
349	3506	6511
350	3518	6505
351	3524	6487
352	3533	6477
353	3539	6458
354	3545	6442
355	3552	6425
356	3557	6407
357	3567	6397
358	3573	6380
359	3584	6372
360	3591	6357
361	3598	6342
362	3603	6323
363	3615	6317
364	3623	6303
365	3629	6287
366	3635	6270
367	3643	6257
368	3648	6239
